"id","created","reporting_user_id","reported_user_id","reason_id","comment","id","localizable_string_name"
368576,"2017-04-04 12:11:32.905211",3251471,686487,1,"",1,"ReportReason_1"
328323,"2016-12-18 13:37:01.036486",2886162,2955523,4,"",4,"ReportReason_4"
322562,"2016-12-04 22:58:56.058163",2249008,2911111,4,"",4,"ReportReason_4"
330875,"2016-12-25 06:51:32.079118",2909780,2973425,3,"",3,"ReportReason_3"
331194,"2016-12-26 07:49:08.841609",2909780,2973425,3,"",3,"ReportReason_3"
388136,"2017-05-12 01:16:27.42017",3281339,3382854,2,"",2,"ReportReason_2"
388150,"2017-05-12 01:36:42.194509",2968671,3382854,2,"",2,"ReportReason_2"
388155,"2017-05-12 01:53:14.284183",2843208,3382854,2,"",2,"ReportReason_2"
388259,"2017-05-12 04:17:56.904333",2803074,3382854,2,"",2,"ReportReason_2"
388416,"2017-05-12 12:23:21.156067",3161563,3382854,2,"",2,"ReportReason_2"
388282,"2017-05-12 04:50:15.602604",2760854,3380297,2,"",2,"ReportReason_2"
341544,"2017-01-14 16:23:36.322557",2554856,3041539,2,"",2,"ReportReason_2"
342011,"2017-01-15 18:54:25.615961",2554856,2543532,2,"",2,"ReportReason_2"
310288,"2016-11-10 07:24:02.347722",2676020,2639751,6,"",6,"ReportReason_6"
375384,"2017-04-20 18:10:33.520552",3137741,3318935,5,"",5,"ReportReason_5"
349946,"2017-02-04 11:31:16.142251",2636950,3092897,2,"",2,"ReportReason_2"
313388,"2016-11-16 08:18:57.535441",2825237,315936,6,"repetitive",6,"ReportReason_6"
350463,"2017-02-05 18:41:07.661584",2899018,2460887,2,"",2,"ReportReason_2"
315155,"2016-11-19 05:27:07.824894",2865656,2538345,2,"",2,"ReportReason_2"
279436,"2016-10-04 15:48:56.404101",2716633,941249,1,"",1,"ReportReason_1"
335390,"2017-01-03 02:57:02.263606",816321,3004188,4,"",4,"ReportReason_4"
335452,"2017-01-03 04:57:11.158776",810217,3004188,4,"",4,"ReportReason_4"
335541,"2017-01-03 07:23:54.5153",548076,3004188,4,"",4,"ReportReason_4"
386572,"2017-05-08 10:17:51.976996",959611,3343412,2,"",2,"ReportReason_2"
357669,"2017-02-25 21:50:45.283753",2249008,3149116,4,"",4,"ReportReason_4"
242157,"2016-08-03 04:38:06.852942",343156,2509775,6,"",6,"ReportReason_6"
242158,"2016-08-03 04:38:44.657108",343156,2509775,3,"",3,"ReportReason_3"
90627,"2016-02-11 14:35:47.005361",891277,775240,2,"",2,"ReportReason_2"
122572,"2016-03-04 06:11:41.483859",1025799,775240,6,"",6,"ReportReason_6"
390349,"2017-05-15 15:42:38.655588",2065170,3154706,2,"",2,"ReportReason_2"
356533,"2017-02-21 19:37:58.071054",3055601,3150675,2,"",2,"ReportReason_2"
324458,"2016-12-08 03:44:57.447582",2249008,2923129,4,"",4,"ReportReason_4"
365338,"2017-03-24 15:19:59.802506",2767460,3243499,2,"",2,"ReportReason_2"
318800,"2016-11-26 13:06:53.738177",2851179,868089,1,"",1,"ReportReason_1"
378419,"2017-04-24 03:12:28.542926",3187801,868089,1,"",1,"ReportReason_1"
385923,"2017-05-07 05:22:18.207537",2133728,868089,1,"",1,"ReportReason_1"
344074,"2017-01-20 23:57:56.227726",2599108,3058218,4,"",4,"ReportReason_4"
344096,"2017-01-21 00:42:56.867972",3049083,3058218,4,"",4,"ReportReason_4"
344138,"2017-01-21 02:02:54.939309",821774,3058218,4,"",4,"ReportReason_4"
386267,"2017-05-08 00:28:16.818138",475854,2936663,6,"soliciting",6,"ReportReason_6"
372057,"2017-04-12 19:44:19.71974",2962490,3139700,2,"",2,"ReportReason_2"
338370,"2017-01-08 01:05:38.613535",2720642,2313646,6,"i recently changed cell phones and some how i came across this other account. didnt realize a new one was created since my details transferred to this new phone. please delete the old profile as i do not have access to it any longer. ",6,"ReportReason_6"
249908,"2016-08-19 13:16:03.989289",1057802,2582455,4,"",4,"ReportReason_4"
379885,"2017-04-25 20:20:02.323327",144372,3320404,6,"",6,"ReportReason_6"
