id,device,email_provider,has_fb_id
170054,unknown,gmail,True
171477,unknown,other,False
172525,unknown,hotmail,True
172595,unknown,gmail,True
172657,unknown,other,False
174342,unknown,yahoo,False
174733,unknown,gmail,True
174806,unknown,gmail,False
175415,unknown,yahoo,True
176373,unknown,other,False
176498,unknown,other,False
176565,unknown,gmail,False
178691,unknown,gmail,True
180112,unknown,gmail,True
181630,unknown,gmail,True
182059,unknown,other,True
182310,unknown,gmail,False
182325,unknown,other,False
182758,unknown,other,False
183692,unknown,other,False
183699,unknown,other,True
185034,unknown,yahoo,True
185820,unknown,gmail,True
186346,unknown,other,True
186997,unknown,gmail,True
187270,unknown,gmail,False
189270,unknown,yahoo,True
190167,unknown,yahoo,True
190218,unknown,gmail,False
190523,unknown,gmail,False
190895,unknown,other,False
191705,unknown,gmail,True
191891,unknown,other,True
191910,unknown,gmail,True
191999,unknown,hotmail,False
192774,unknown,gmail,True
192794,unknown,yahoo,False
193717,unknown,other,True
195017,unknown,other,False
196750,unknown,gmail,False
196954,unknown,gmail,True
197706,unknown,other,False
198408,unknown,yahoo,False
198893,unknown,other,True
199313,unknown,yahoo,False
199501,unknown,hotmail,False
199748,unknown,gmail,False
199790,unknown,gmail,False
199821,unknown,gmail,True
199849,unknown,gmail,False
200513,unknown,yahoo,True
200827,unknown,yahoo,False
201272,unknown,gmail,True
201489,unknown,gmail,False
202168,unknown,gmail,True
203677,unknown,gmail,True
204594,unknown,gmail,True
205072,unknown,other,False
205406,unknown,gmail,False
205951,unknown,other,False
206592,unknown,gmail,False
207444,unknown,other,True
208589,unknown,yahoo,True
208765,unknown,yahoo,True
209840,unknown,yahoo,False
210498,unknown,gmail,False
211369,unknown,other,True
212271,unknown,yahoo,False
213458,unknown,other,True
213461,unknown,other,True
214918,unknown,gmail,False
215046,unknown,other,True
217101,unknown,gmail,False
217308,unknown,gmail,True
217525,unknown,hotmail,False
217602,unknown,gmail,False
220015,unknown,other,True
220916,unknown,yahoo,False
222533,unknown,gmail,False
222995,unknown,gmail,False
223259,unknown,gmail,False
223331,unknown,gmail,False
224192,unknown,gmail,False
224883,unknown,hotmail,True
225551,unknown,gmail,False
225768,unknown,other,False
226128,unknown,other,False
227283,unknown,gmail,False
227347,unknown,other,False
228568,unknown,other,True
230063,unknown,yahoo,True
230091,unknown,gmail,False
230977,unknown,gmail,False
231140,unknown,gmail,False
231218,unknown,yahoo,True
231645,unknown,gmail,False
232789,unknown,gmail,True
233143,unknown,gmail,True
234266,unknown,other,False
235524,unknown,hotmail,True
236447,unknown,gmail,True
238835,unknown,yahoo,True
239191,unknown,yahoo,False
239307,unknown,gmail,False
240898,unknown,yahoo,True
241100,unknown,gmail,True
241125,unknown,yahoo,True
241148,unknown,gmail,True
242038,unknown,yahoo,True
242096,unknown,gmail,False
242361,unknown,yahoo,False
242723,unknown,yahoo,False
243054,unknown,gmail,True
243551,unknown,yahoo,True
243993,unknown,other,False
244304,unknown,hotmail,False
247520,unknown,gmail,True
248173,unknown,hotmail,True
248314,unknown,gmail,True
248926,unknown,yahoo,False
249160,unknown,hotmail,True
250517,unknown,gmail,False
250539,unknown,gmail,True
