"account_id","notify_text","notify_relationship_status","notify_new_photo","notify_instagram","notify_remote","notify_feeling","last_instagram_notified","last_swipe_notified","remote_notification","powerlike_gift","notify_location","remote_notifications_sent","notify_birthday","birthday_notifications_sent","notify_market","notify_shoutout","xmas_newsletter_sent"
3125942,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2355454,t,t,t,t,t,t,"2016-11-01 20:17:42.507248","",,,t,"{10,13,20,21}",t,"{2016}",t,t,
3306040,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
2923388,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2756032,t,t,t,t,t,t,"2016-11-01 21:07:26.556532","",,,t,"{16,17,18,20,21}",t,"{2017}",t,t,
2786696,t,t,t,t,t,t,"","",,,t,"{15,16,17,18,20,21}",t,"",t,t,t
144620,t,t,t,t,t,t,"","2016-02-01 04:24:59",,,t,"{10,13,18,20,21}",t,"{2016}",t,t,
2133728,t,t,t,t,t,t,"","",,t,t,"{10,21}",t,"",t,t,t
376643,t,t,t,t,t,t,"","2016-02-01 03:08:58",,,t,"{10,13,20,21}",t,"{2016}",t,t,
3021008,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3146923,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2973280,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3342445,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2940693,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
136966,t,t,t,t,t,t,"","2016-02-01 04:40:12",,,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,
2368670,t,t,t,t,t,t,"","",t,,t,"",t,"",t,t,
2611880,f,f,f,f,f,t,"","",,,t,"{10,13,20,21}",t,"{2017}",t,t,
3300376,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
370793,t,t,t,t,t,t,"","2016-01-31 12:36:34",,,t,"{10,13,18,20,21}",t,"",t,t,
643354,t,t,t,t,t,t,"","2016-02-01 04:17:02",,t,t,"{10,13,20,21}",t,"",t,t,
2798913,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
124141,t,t,t,t,t,t,"","2016-02-01 03:01:23",,,t,"{10,13,18,20,21}",t,"{2016}",t,t,
3192687,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2298926,t,t,t,t,t,t,"","",t,t,t,"{13,20,21}",t,"",t,t,
2601236,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"{2017}",t,t,
2684554,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2016}",t,t,t
781188,t,t,t,t,t,t,"","2016-02-01 00:17:34",,t,t,"{10,13,20,21}",t,"",t,t,
2258025,t,f,f,f,f,t,"","",t,t,t,"{13,20,21}",t,"",t,t,
1104938,t,t,t,t,t,t,"","",,t,t,"{10,13,18,20,21}",t,"",t,t,
494420,t,t,t,t,t,t,"","2016-02-01 05:45:21",,,t,"{10,13}",t,"{2017}",t,t,
3292135,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
3022384,f,f,f,f,f,f,"","",,,f,"{16,17,18,20,21}",f,"",f,f,
2384526,t,t,t,t,t,t,"","",t,,t,"{13,20,21}",t,"{2016}",t,t,
3060216,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2936064,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,
3274401,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2992289,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2641327,t,t,t,t,t,t,"","",,,t,"{13,20,21}",t,"{2016}",t,t,
2579926,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2954747,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2122708,t,t,t,t,t,t,"","",,t,t,"{10,13,18,20,21}",t,"{2017}",t,t,
2957743,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2964896,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
